;brand_with_ref_no;count
0;Rolex__116231;2035
1;Rolex__116334;2035
2;Rolex__116523;2035
3;Rolex__116400GV;2035
4;Rolex__16610V;2035
5;Rolex__116660 dbl;2035
6;Rolex__16613 T;2035
7;Rolex__5513;2035
8;Rolex__16700;2035
9;Rolex__116200;2035
10;Rolex__16523;2035
11;Rolex__116518;2035
12;Rolex__116660;1362
13;Breitling__A13370;1054
14;Cartier__W20090X8;890
15;Rolex__114060;763
16;Rolex__116613;673
17;Omega__215.90.46.51.99.001;656
18;Omega__311.33.40.30.02.001;656
19;Omega__Rose Gold;656
20;Omega__225.12.43.50.01.001;656
21;Omega__321.53.44.52.01.001;656
22;Omega__231.25.34.20.55.003;656
23;Omega__231.20.42.21.06.003;656
24;Omega__422.18.35.50.10.001;656
25;Omega__123.25.38.21.52.002;656
26;Omega__311.90.44.51.03.001;656
27;Omega__3684076;656
28;IWC__IW501902;610
29;Breitling__7656;527
30;Breitling__C1335653;527
31;Breitling__E76325A5/O508-159E;527
32;Breitling__IB011053/A693;527
33;Breitling__h2432212/b852-2CD;527
34;Breitling__A25362 PRICE REDUCED;527
35;Breitling__1 260;527
36;Breitling__EB043363/A783;527
37;Breitling__C43950;527
38;Breitling__R44365;527
39;Cartier__2483;445
40;Cartier__W6901351;445
41;Cartier__W7100055;445
42;Cartier__W7100009;445
43;Cartier__W26035K2;445
44;Cartier__W62020X6;445
45;Cartier__W5310042;445
46;Cartier__WE902028;445
47;Cartier__W2609456 2894;445
48;Breitling__AB012312/G756.447A;362
49;Patek Philippe__3548;316
50;Patek Philippe__5065;316
51;Patek Philippe__5119J;316
52;Patek Philippe__3744;316
53;IWC__IW376411;305
54;IWC__IW320103;305
55;IWC__IW500402;305
56;IWC__IW323608;305
57;IWC__IW3765-01;305
58;IWC__IW500109;305
59;IWC__IW544402;305
60;IWC__IW388002;305
61;IWC__IW5027-02;305
62;IWC__IW510111;305
63;IWC__IW371482;305
64;IWC__IW500704;305
65;IWC__IW387802;305
66;IWC__IW387806;305
67;IWC__IW500121;305
68;IWC__IW388004;305
69;IWC__IW3782-03;305
70;IWC__3712;305
71;TAG Heuer__DIA003220 WH23;302
72;Hublot__301.SM.1770.RX;298
73;Hublot__411.CX.1189.VR.USB16;298
74;Hublot__515.CM.1040.LR.SHC13;298
75;Hublot__309.CM.134.RX.AES07;298
76;Hublot__309.CK.1140;298
77;Hublot__521.CM.1771.RX;298
78;Hublot__301.SX.130.RX;298
79;Hublot__411.SX.1170.LR.WPT15;298
80;Hublot__703.nq.1123.nr.gug13;298
81;Hublot__709.ZE.2110.RW;298
82;Hublot__709CI1770RX;298
83;Hublot__341.CW.7717.NR.1977;298
84;Hublot__732.;298
85;Hublot__515.NX.2210.LR;298
86;Audemars Piguet__56175.OR.O.0789.OR.03;262
87;Audemars Piguet__26100BC.OO.D002CR.01;262
88;Audemars Piguet__ST14642/0853;262
89;Audemars Piguet__26120ST.OO.1220ST.01;262
90;Audemars Piguet__67601BA.ZZ.D012CR.03-FX2UC2;262
91;Audemars Piguet__15400ST.OO.1220ST.02;262
92;Audemars Piguet__25940SK.OO.D002CA.01;262
93;Panerai__PAM00421;256
94;Panerai__PAM00127;256
95;Panerai__PAM 194;256
96;Panerai__PAM 346;256
97;Panerai__PAM190 / OP6609;256
98;Panerai__PAM 307;256
99;Panerai__PAM00346;256
100;Panerai__Pam00196;256
101;Panerai__PAM 00320;256
102;Panerai__PAM00090;256
103;Panerai__PAM 00275;256
104;Panerai__62;256
105;Panerai__PAM00663;256
106;Panerai__PAM00577;256
107;Panerai__PAM00448;256
108;Panerai__PAM00214;256
109;Panerai__PAM00690;256
110;Panerai__PAM 00104;256
111;Panerai__PAM00524;256
112;Panerai__PAM00379;256
113;Panerai__PAM 199;256
114;Breguet__5817;244
115;Jaeger-LeCoultre__1768451;229
116;Jaeger-LeCoultre__Q8002520;229
117;Jaeger-LeCoultre__Q3308421;229
118;Jaeger-LeCoultre__2651120;229
119;Jaeger-LeCoultre__Q1308470;229
120;Jaeger-LeCoultre__Q149842A;229
121;Jaeger-LeCoultre__Q1758421;229
122;Jaeger-LeCoultre__Q3808420;229
123;Jaeger-LeCoultre__150.8.22;229
124;Jaeger-LeCoultre__Q1908470;229
125;Jaeger-LeCoultre__E853;229
126;Jaeger-LeCoultre__5117201/Q5117201;229
127;Jaeger-LeCoultre__Q1352420;229
128;Jaeger-LeCoultre__160.T.96;229
129;Jaeger-LeCoultre__Q1418430;229
130;Jaeger-LeCoultre__140.2.93.S;229
131;Jaeger-LeCoultre__140.6.98;229
132;Jaeger-LeCoultre__Q2951120;229
133;Jaeger-LeCoultre__270.3.63;229
134;Jaeger-LeCoultre__235.8.76;229
135;Jaeger-LeCoultre__175.84.21;229
136;Jaeger-LeCoultre__175.8.C1;229
137;Jaeger-LeCoultre__5480BA/12/996;229
138;Jaeger-LeCoultre__Q193J471;229
139;Longines__25004;206
140;Longines__23996;206
141;Tudor__7928;198
142;Chopard__388549-3001;165
143;Chopard__10/7023/8-20;165
144;Chopard__17/1258-20;165
145;Chopard__278488-6001;165
146;Chopard__277473-5001;165
147;Chopard__27/6150-23;165
148;Chopard__168554-3001;165
149;Chopard__384241-5001;165
